date,event,violent_or_natural,cause,deaths_per_day,over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
6/27/2020,COVID-19 Pandemic,nonviolent,Pandemic,508,-8484.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/19/2020,COVID-19 Pandemic,nonviolent,Pandemic,498,-8494.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/15/2020,COVID-19 Pandemic,nonviolent,Pandemic,496,-8496.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/11/2020,COVID-19 Pandemic,nonviolent,Pandemic,494,-8498.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/12/2020,COVID-19 Pandemic,nonviolent,Pandemic,492,-8500.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/17/2020,COVID-19 Pandemic,nonviolent,Pandemic,490,-8502.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
4/13/2020,COVID-19 Pandemic,nonviolent,Pandemic,489,-8503.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/26/2020,COVID-19 Pandemic,nonviolent,Pandemic,483,-8509.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/8/2020,COVID-19 Pandemic,nonviolent,Pandemic,480,-8512.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/18/2020,COVID-19 Pandemic,nonviolent,Pandemic,475,-8517.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
